id,jun,jul,ago,set,out,nov,dez,jan
775767,1000.0,400.0,200.0,0.0,0.0,0.0,9150.0,9020.0
778447,0.0,0.0,0.0,0.0,0.0,0.0,1456.0,10899.0
780520,149.0,0.0,0.0,2100.0,560.0,1960.0,8626.0,4264.0
780550,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
785879,0.0,0.0,0.0,0.0,0.0,500.0,4679.0,9962.0
789567,125.0,0.0,1875.0,625.0,3875.0,2446.0,2661.0,119.0
791864,0.0,0.0,0.0,0.0,0.0,1617.0,3070.0,192.0
803872,826.0,295.0,1475.0,885.0,0.0,0.0,0.0,595.0
810085,783.0,134.0,504.0,1626.0,3035.0,1901.0,1852.0,5245.0
831530,0.0,545.0,945.0,2772.0,3069.0,2970.0,3031.0,9978.0
840872,500.0,0.0,3500.0,3800.0,0.0,5750.0,10840.0,11800.0
843764,0.0,0.0,0.0,0.0,0.0,1816.0,1696.0,0.0
845018,1161.0,849.0,1087.0,0.0,0.0,0.0,1192.0,4060.0
849141,0.0,0.0,0.0,0.0,0.0,0.0,3874.0,1007.0
858163,0.0,0.0,0.0,0.0,0.0,0.0,2994.0,19995.0
858631,2748.0,1589.0,2241.0,4384.0,2232.0,7373.0,8722.0,11936.0
914290,432.0,1008.0,380.0,830.0,1050.0,1350.0,3139.0,1320.0
916563,0.0,0.0,1560.0,420.0,0.0,1860.0,540.0,7800.0
919272,0.0,0.0,0.0,0.0,0.0,0.0,2100.0,4420.0
919816,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,0.0
921513,0.0,0.0,0.0,0.0,0.0,8100.0,9600.0,20150.0
932491,2900.0,2038.0,0.0,2143.0,129.0,2645.0,1560.0,0.0
942411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
942481,530.0,0.0,6890.0,1800.0,0.0,10440.0,14574.0,30146.0
943053,400.0,0.0,4780.0,1200.0,10920.0,12650.0,6050.0,0.0
944722,0.0,0.0,0.0,0.0,0.0,710.0,1240.0,1920.0
948077,19694.0,24435.0,23140.0,17090.0,12605.0,16101.0,11162.0,8775.0
950857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1184.0
951984,0.0,0.0,0.0,0.0,0.0,391.0,5522.0,6241.0
953579,0.0,0.0,2340.0,6030.0,1820.0,170.0,7950.0,9500.0
959701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22000.0
982402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
987769,0.0,690.0,3910.0,460.0,0.0,460.0,4860.0,6650.0
996365,0.0,0.0,0.0,0.0,0.0,0.0,2750.0,4520.0
1013996,2130.0,340.0,510.0,2700.0,4450.0,6770.0,1400.0,1170.0
1015554,0.0,0.0,0.0,0.0,0.0,2150.0,16200.0,11750.0
1021209,1780.0,0.0,480.0,350.0,105.0,3360.0,3080.0,0.0
1032441,3860.0,2932.0,1080.0,1459.0,960.0,11800.0,13076.0,0.0
1062103,80.0,1230.0,2340.0,3260.0,3720.0,3150.0,4545.0,5280.0
1062162,49.0,0.0,45.0,145.0,285.0,280.0,865.0,1025.0
1084324,800.0,0.0,10400.0,2400.0,0.0,2400.0,0.0,0.0
1092957,0.0,0.0,0.0,0.0,0.0,0.0,900.0,7200.0
1125155,220.0,0.0,180.0,4500.0,1080.0,5710.0,9980.0,12957.0
1170893,199.0,0.0,285.0,744.0,0.0,1803.0,4787.0,5271.0
1176885,0.0,0.0,0.0,1120.0,16796.0,1172.0,4619.0,0.0
1273100,360.0,0.0,2040.0,600.0,1200.0,2040.0,7690.0,3130.0
1335262,1219.0,1054.0,1391.0,1593.0,2651.0,2940.0,1528.0,0.0
1339479,0.0,0.0,154.0,0.0,0.0,0.0,6460.0,8366.0
1340681,0.0,0.0,0.0,0.0,0.0,1700.0,3200.0,0.0
1436323,0.0,0.0,0.0,0.0,0.0,3521.0,0.0,0.0
1528046,0.0,0.0,0.0,0.0,0.0,2506.0,716.0,716.0
1562295,0.0,0.0,0.0,0.0,1992.0,2712.0,10007.0,15785.0
1564315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1572098,0.0,0.0,0.0,0.0,0.0,0.0,3905.0,9276.0
1591239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8800.0
1594006,0.0,0.0,0.0,0.0,0.0,0.0,255.0,0.0
1602355,200.0,50.0,250.0,250.0,1550.0,100.0,2080.0,2280.0
1625381,0.0,0.0,0.0,3630.0,0.0,0.0,8040.0,10980.0
1646016,0.0,0.0,0.0,0.0,0.0,0.0,2800.0,4500.0
1678374,0.0,0.0,0.0,0.0,0.0,3150.0,1400.0,1050.0
1682132,0.0,1588.0,2016.0,950.0,220.0,2816.0,6794.0,11650.0
1687703,8580.0,0.0,0.0,2250.0,1920.0,5940.0,12600.0,21750.0
1727343,0.0,189.0,1701.0,189.0,0.0,0.0,3605.0,0.0
1737314,0.0,0.0,0.0,0.0,0.0,0.0,19855.0,11913.0
1745409,0.0,0.0,0.0,0.0,0.0,600.0,2100.0,4500.0
1755539,450.0,1440.0,1683.0,2932.0,2930.0,2560.0,3667.0,2549.0
1801919,0.0,0.0,0.0,0.0,0.0,8060.0,0.0,0.0
1805848,1355.0,0.0,2400.0,540.0,0.0,920.0,5330.0,9739.0
1812086,0.0,0.0,0.0,0.0,0.0,250.0,1500.0,2000.0
1823080,0.0,2070.0,706.0,0.0,0.0,1500.0,7938.0,12554.0
1824344,664.0,0.0,0.0,2324.0,1992.0,3720.0,5216.0,7542.0
1830012,0.0,0.0,0.0,1448.0,21986.0,12123.0,5698.0,9307.0
1836948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5850.0
1847190,31200.0,20400.0,22800.0,20400.0,19200.0,25200.0,7200.0,8400.0
1847881,0.0,0.0,7700.0,3500.0,21000.0,4900.0,2100.0,700.0
1849921,0.0,0.0,0.0,0.0,0.0,10600.0,25070.0,0.0
1854554,6900.0,0.0,0.0,0.0,0.0,6600.0,10300.0,17200.0
1860192,992.0,1984.0,2920.0,516.0,2640.0,4072.0,8504.0,14372.0
1913105,6240.0,0.0,11560.0,7480.0,17160.0,8950.0,21180.0,21300.0
1921170,500.0,0.0,7000.0,2000.0,0.0,5840.0,7385.0,9860.0
1928647,1600.0,0.0,0.0,0.0,0.0,915.0,1990.0,3575.0
1940611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1270.0
1940715,550.0,0.0,5850.0,3150.0,0.0,0.0,12470.0,19640.0
1983782,240.0,320.0,1120.0,480.0,720.0,0.0,2800.0,5200.0
1997030,794.0,397.0,7146.0,5744.0,10770.0,10411.0,5744.0,7539.0
2008726,0.0,0.0,0.0,0.0,0.0,420.0,3090.0,8840.0
2016735,0.0,0.0,0.0,0.0,0.0,6000.0,9000.0,3600.0
2017031,190.0,0.0,2470.0,380.0,5930.0,1330.0,13620.0,16580.0
